act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
fb, 14, -3, 45.395996, color, 1, 0, 0, 0, 0, -1803.282349, 9, 1, -330.719238, N, 0, 25
2, 92, -67428844, 1.000000, nerve, 343946, 0, 0, 1, 1, 0.033478, 25772, 1, -0.005707, &, 1, 113947015932393541
1, 11, 33584813, 13.489258, print, 62315, 0, 0, 0, 1, 809.859558, 287, 1, -0.033875, O, 1, 2524116321547
fa, 14, -50, -8.366211, slope, 2, 0, 0, 1, 0, 0.000702, 178, 0, -43.537201, (, 1, 3247350886159324
fe, 5, -164, -1646.794922, clover, 2, 1, 0, 0, 0, -30816.568359, 34, 0, 0.209686, R, 1, 199061000562193589
7, 44, 991093546, 135532.429199, fall, 3448627, 0, 1, 0, 0, 0.000336, 1, 1, 162.815735, N, 0, 261443610492870
5, 16, -125394, 0.011719, quartz, 34, 1, 0, 0, 0, -4741.740234, 3890, 1, -0.000458, !, 1, 1365214
ff, 1, -291, 3872.906250, fight, 1, 1, 1, 0, 1, -0.037109, 1750, 1, -242.956970, H, 0, 20
fa, 3, -3983432, -0.001953, motion, 671768, 0, 1, 0, 1, 5.650146, 39, 0, -1262.661743, q, 1, 100238586964
f5, 3, 52003, -21.905762, trick, 1619895, 1, 0, 1, 1, -4.190613, 0, 1, -1.382843, N, 0, 124531493711
25, 102, 9976, -0.004883, , 98, 1, 1, 0, 1, -0.001343, 19, 1, -2.600311, Q, 1, 40657
3, 9, 10, -193349.363770, lumber, 161793, 1, 1, 1, 1, -0.001038, 5866, 1, 460.814178, 3, 1, 1292
ff, 199, -182489, -0.109375, stem, 331, 0, 0, 0, 0, 0.000000, 1, 0, -19689.115234, i, 1, 97707266
ff, 11, 69869704, -1862.689941, print, 6, 1, 0, 0, 0, -0.994629, 12, 1, -0.033722, k, 0, 2734390
ff, 42, -1556389, 16.732910, pull, 223, 1, 0, 1, 0, -315.185303, 91, 0, -0.000061, j, 0, 959
ff, 11, 752109, 16.246582, shock, 88401, 0, 0, 1, 1, 6.488770, 21848, 1, 7.110901, |, 1, 44
9, 188, 11, 1.208984, light, 309, 1, 0, 0, 0, -0.002167, 17, 0, 0.000092, Y, 1, 7423
1, 6, -2606, -1606.147461, bite, 49933697, 1, 1, 1, 1, -0.000031, 25, 0, 0.001373, }, 1, 16577829484
f1, 76, -5568, -0.001953, chairs, 333308, 1, 1, 1, 0, -0.018921, 27971, 0, 7085.411621, E, 1, 32280493582906
fa, 3, -50, -8.366211, slope, 2, 0, 1, 1, 1, -12470.717773, 11, 0, -43.537201, (, 0, 97
f, 251, -460, -80952.246094, rest, 578, 0, 0, 1, 1, -25.635406, 28918, 1, 0.015015, ~, 1, 127546816967058
ff, 10, -55987, -51.658691, kite, 291, 1, 1, 0, 1, -1803.282349, 6, 1, -330.719238, h, 1, 3567360729362420766
1, 5, -66488003, -1088.396973, cause, 3429, 1, 0, 0, 1, -11.780914, 16, 1, 2.977478, m, 1, 731532013337744911
3, 11, 2026591842, -162403.096191, dust, 93138, 1, 1, 1, 1, 190.712860, 15313, 0, 7.110901, |, 1, 44
c3, 6, -197, -0.122559, star, 525273188, 0, 1, 0, 0, 16202.113281, 22334, 0, -3038.020996, 7, 0, 6713775
1, 63, -1556389, -15652.585938, , 5370502, 1, 0, 0, 0, -0.034180, 3, 1, -0.000031, x, 1, 3665984
64, 2, 251, 207354.741699, rest, 7109394, 1, 1, 0, 1, -0.007812, 17, 1, 0.000092, S, 0, 6
0, 4, 16413602, -0.446777, smash, 2267579597, 0, 0, 0, 1, -0.018921, 16683, 1, 7085.411621, &, 0, 4346108934791493393
0, 25, -16184, -180.328613, worm, 118034, 0, 0, 1, 1, 0.372498, 195, 1, 10.245361, c, 0, 495765678821171309
fe, 5, 77, -214.084473, clover, 6856379, 0, 1, 0, 0, 0.000183, 50562, 0, 0.089020, L, 0, 95567222321155
1, 0, 130, 15.639648, chess, 130484, 0, 0, 1, 0, -0.000153, 12, 1, -0.005707, n, 0, 406091
f8, 37, 6873, -213438.471680, bomb, 41996852, 0, 1, 1, 1, 100.696503, 28, 0, 0.821808, o, 0, 8092160312526064
fe, 3, -1, -0.095703, ocean, 247267, 1, 0, 0, 1, 4.435699, 15186, 0, 0.000153, l, 0, 61035605155
6, 5, 16860109, 135.997559, house, 127130, 0, 0, 0, 0, 0.005524, 20, 0, -0.000122, &, 1, 1238704171
fc, 1, -27, 0.122559, sponge, 8099, 0, 1, 1, 0, -3173.643066, 288, 1, 1.411713, <, 0, 28181379576
3, 3, -2145596, -10918.529297, tray, 161793, 1, 1, 1, 1, -102.540100, 5866, 1, 460.814178, 3, 0, 1292
ff, 24, 36504196, -1.139648, apples, 3079644, 1, 0, 1, 0, 0.000031, 48159, 1, 0.209686, R, 1, 1
9, 10, 10512, 1.737793, love, 213633535, 0, 0, 0, 0, -18.685394, 19610, 0, 1.393280, -, 0, 485093146171
ed, 227, 17667045, 13645.636230, window, 148, 0, 0, 1, 1, 0.013611, 0, 0, -0.318207, ~, 0, 1041402408
fe, 17, -321, -0.249023, fruit, 0, 0, 1, 1, 0, -144.357361, 12, 1, -14.832977, F, 1, 5276486138
2, 83, -713, 0.000000, banana, 255402, 0, 1, 1, 0, 6330.988281, 0, 0, -28324.619141, ], 1, 6
fc, 6, -19196608, -101608.802734, , 1722654, 1, 0, 1, 0, 18.204895, 7, 1, 1.000000, Q, 1, 2000867038653678622
0, 0, -77, -2.226074, book, 1740132, 1, 0, 0, 0, 0.001038, 5, 1, 0.007599, s, 1, 149733
6, 17, -404, -0.249023, crate, 0, 1, 0, 1, 1, -0.002136, 12, 0, -15.970032, F, 1, 475963375354
6, 0, -10865, 2.469238, frog, 1, 0, 1, 1, 1, -0.588806, 962, 1, -0.000122, F, 0, 11690
ff, 80, -46923, 15735.449707, spoon, 18225421, 1, 1, 0, 1, 89.810425, 1954, 1, -0.204132, W, 0, 597463738359350
ff, 1, -17975, 416.425781, rose, 2881840, 1, 0, 0, 1, -0.103363, 0, 0, -4872.620605, n, 0, 736515207643499904
18, 12, 160794, 330.723633, , 1446843, 1, 1, 0, 0, 74.305695, 62799, 0, 0.000580, (, 0, 1969
0, 0, -8, 0.003906, giants, 1740132, 1, 1, 0, 0, -0.000183, 189, 1, 0.007599, s, 0, 149733
f8, 4, -31, -41125.336914, rock, 569, 0, 1, 0, 1, 0.039795, 1432, 1, 0.821808, S, 0, 190
1, 1, 8818331, 25134.737305, mother, 507786643, 1, 0, 1, 1, -54.736908, 7095, 0, -0.742981, q, 0, 4159853913723863059
3, 1, 338, 0.000488, yam, 161793, 0, 1, 0, 0, -46.659027, 5866, 0, 460.814178, @, 1, 527707176
ff, 2, -3092778, -0.004883, , 3, 0, 1, 0, 0, -0.000092, 940, 1, -5.865204, 5, 1, 158910562
f4, 22, -1928655, -7184.968750, riddle, 28435825, 0, 1, 0, 0, -0.005646, 1702, 1, 26.033905, E, 1, 1726472576337
a, 22, 113597521, 2.389160, name, 3948685, 1, 0, 1, 1, 0.574036, 2, 1, -0.044952, E, 1, 34140977589837
0, 5, -3092, -0.446777, geese, 3310264, 0, 1, 0, 1, -0.000854, 3, 1, 7085.411621, &, 1, 4346108934791493393
2, 49, 39374, 8727.005859, turkey, 1329676278, 1, 0, 0, 0, -0.000061, 167, 0, 61.499695, 2, 0, 3249653059
34, 73, 840, 107.039062, town, 2057156, 0, 1, 1, 1, 0.437073, 210, 0, 0.329163, Z, 0, 6115284360326742594
74, 3, 18523, 446488.304199, shock, 110, 0, 1, 0, 1, -0.320984, 43, 1, 8.118317, w, 0, 1791485700691102582
18, 14, -61458064, -44335.568848, bottle, 468280, 1, 1, 1, 0, 1.092529, 29, 0, 0.017792, 4, 1, 29902023237
5, 0, 7899, 0.009277, sugar, 2945, 0, 1, 1, 0, -0.611542, 144, 1, -0.000458, =, 0, 24
0, 29, 27, -5250.302734, rake, 432968, 1, 1, 0, 0, 7690.755371, 872, 0, 3094.250488, U, 1, 1944
f1, 76, -5568, 21.276855, twist, 333308, 1, 1, 1, 1, -0.018921, 8811, 0, 7085.411621, E, 0, 13602263908718881
2, 1, -1415546, -0.000488, guitar, 465502355, 1, 1, 1, 0, 361.500305, 11480, 1, -0.067444, %, 0, 5961036978092323934
0, 5, -3092, -0.446777, store, 3310264, 1, 0, 0, 0, -0.000854, 1, 1, 7085.411621, &, 1, 32280493582906
4, 2, 752109, 103971.529785, shock, 88401, 0, 0, 1, 1, 5818.737305, 21848, 0, 7.110901, 1, 1, 44
b, 241, -683, 0.027344, cellar, 23, 0, 0, 1, 1, -747.922180, 8, 1, 0.000977, %, 1, 466838620280854587
72, 253, 123, 22.872070, middle, 37978, 0, 1, 0, 0, -3434.827637, 0, 1, -28324.619141, o, 1, 97707266
7, 24, 9, 98.948242, fall, 3448627, 0, 1, 0, 1, 0.000336, 1227, 1, 162.815735, N, 1, 0
7, 5, 26425, 0.026367, form, 7259791, 0, 1, 1, 0, -42.495544, 11, 1, -0.014923, J, 1, 163538460848109
12, 0, -751183173, 0.000000, rest, 7109394, 1, 0, 0, 1, 0.029999, 3959, 0, 0.000092, S, 1, 1363192199
fc, 24, 46, -0.051758, , 277761728, 0, 0, 1, 0, 3071.715820, 372, 1, -9.570374, /, 1, 4136205237176
fb, 3, -1954183, -0.095703, man, 93297866, 1, 1, 0, 0, 0.931305, 3, 1, 0.000153, D, 0, 61035605155
0, 163, 15209338, 2941.952148, beggar, 13776085, 1, 1, 0, 0, -0.015015, 4, 1, -114.364807, c, 0, 1522764294506780749
2, 5, 63, -7.475098, horn, 3944, 1, 1, 1, 1, 0.001495, 1, 1, -0.000793, 8, 1, 903516521606404517
fa, 20, 53225896, -0.000977, van, 9723, 1, 0, 1, 0, -0.000824, 0, 0, 0.008728, :, 1, 263415141736
6, 6, 66, 15498.529785, star, 1023182, 0, 0, 0, 0, 0.020691, 22334, 1, -4228.018066, g, 1, 209
