act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
cf, 0, -84, 1.000000, horn, 1, 1, 1, 0, 0, 6301.370605, 234, 1, 24898.187500, c, 0, 250719907154
eb, 46, -7754564, -486086.308105, cord, 1265, 1, 0, 1, 0, -23353.072266, 16532, 1, -0.223633, >, 1, 2669773034
29, 2, 21977697, -0.048340, church, 122, 1, 1, 1, 0, -168.974731, 2760, 1, -31291.363281, g, 1, 102610399327566321
11, 132, 529897476, -0.004883, geese, 12567945, 1, 1, 1, 1, -0.012207, 1848, 1, 1885.768433, I, 0, 0
11, 4, -1820085145, -0.004883, geese, 12567945, 0, 0, 1, 1, -0.000031, 1, 1, 2627.894043, M, 1, 1769400
fa, 1, -10, 31.482910, magic, 180001240, 0, 0, 0, 1, 0.000000, 62, 0, -0.000275, c, 0, 94045674835
0, 128, 802639, 60.867676, yarn, 214926987, 1, 0, 1, 0, 0.000031, 2022, 1, -0.000061, $, 0, 1
ff, 1, -1220087494, 25034.651367, cord, 4273399793, 0, 0, 1, 0, -23353.072266, 318, 0, -15.578491, e, 0, 20756
fa, 0, -10, -0.003906, magic, 180001240, 0, 0, 0, 0, 0.025970, 2, 0, -0.000275, c, 1, 12936597530
51, 69, -120302, -502.485840, room, 14, 1, 0, 0, 0, 475.216431, 14, 1, 0.000000, [, 1, 2400487117
83, 63, 1, 1.000000, heart, 723674, 1, 0, 1, 0, -0.001251, 20, 1, 0.061249, I, 1, 315109155
4, 215, -1836087781, -180198.883301, river, 214926987, 1, 0, 1, 0, 39.710754, 263, 1, -0.000061, 4, 0, 2313595668317
da, 20, 53, 1.000000, nerve, 0, 0, 0, 0, 0, -0.000366, 749, 0, 0.003479, m, 0, 62746450902
0, 132, -57076, -444824.755859, geese, 85360997, 0, 1, 0, 0, -0.012207, 22959, 1, 9.653931, @, 0, 523
0, 251, -57076, -444824.755859, clouds, 20, 0, 1, 1, 0, 469.951538, 37, 1, 9.653931, _, 1, 523
ff, 6, 1826, -12727.320801, shelf, 155844, 1, 1, 1, 1, 0.003387, 1, 0, -0.000092, z, 1, 4695161391
29, 6, 21977697, 3211.388672, , 122, 0, 0, 1, 0, -168.974731, 2760, 1, -31291.363281, g, 1, 1863
11, 0, -1820085145, -26.666992, monkey, 12567945, 1, 0, 1, 0, -222.204102, 168, 1, 2627.894043, M, 1, 1769400
ff, 66, 0, 87702.897949, berry, 155844, 0, 1, 1, 1, 0.003387, 19, 0, -0.000092, z, 0, 4695161391
52, 1, 0, 37885.765625, ice, 3328320, 0, 1, 1, 1, -4313.937500, 2, 1, 1.000000, /, 1, 1
0, 0, -5371, -3.971191, dogs, 376877, 0, 0, 0, 1, 1.895111, 933, 1, -0.223633, >, 0, 7823
1, 1, -13949, 31.482910, maid, 3836874, 1, 0, 0, 1, -0.000092, 3, 1, -0.028900, x, 0, 3226036759887006894
da, 20, 53, -31846.244141, nerve, 0, 0, 0, 0, 0, 0.000031, 382, 0, 0.003479, m, 0, 62746450902
0, 1, -57076, 37885.765625, push, 20, 0, 0, 1, 1, -0.000244, 221, 1, 9.653931, H, 1, 3
