act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
7c, 31, -1657836733, 0.000000, juice, 9626, 0, 0, 1, 1, 0.006226, 50328, 1, -27596.816406, =, 0, 16820361378317432706
ff, 247, 657449809, 0.834961, move, 6, 1, 1, 0, 0, 4.073059, 1, 0, 6.054047, M, 0, 113349
1, 223, -15, 1.000000, linen, 0, 0, 1, 0, 1, -0.194458, 4566, 0, 0.000000, ?, 1, 9746462
ff, 33, 0, 306475.888672, tray, 3, 0, 1, 0, 1, 0.000000, 65372, 0, 91.476868, |, 0, 1
1, 37, -18, 407062.377441, cakes, 1, 0, 0, 0, 0, 1.000000, 0, 1, 1.000000, !, 0, 0
0, 1, 1, 78672.668457, rail, 3, 0, 1, 1, 1, 1.000000, 1, 0, 91.476868, |, 0, 1
d, 0, -216, -0.938965, burst, 9626, 0, 1, 1, 0, 1.000000, 0, 1, -27596.816406, =, 0, 8779015180
7, 1, -967436, 2.121582, , 203, 1, 0, 0, 1, 20592.033203, 2, 0, 0.950134, z, 0, 0
6, 8, 1702546162, 0.000000, price, 1593320, 1, 0, 0, 0, -1701.176636, 3268, 0, 1.000000, 7, 1, 235
62, 223, -15, 1.000000, coil, 0, 1, 0, 0, 0, -25.371643, 4566, 0, 0.000000, a, 0, 1
ff, 1, 1, 0.834961, burst, 1, 0, 0, 1, 0, -63.583740, 113, 0, 6.054047, S, 0, 3612741502
ab, 3, 46330530, 0.006836, island, 25303697, 1, 0, 1, 0, -27498.107422, 2581, 1, 0.000000, E, 0, 192
1, 24, 1, 1.000000, middle, 1, 1, 1, 0, 1, 21585.275391, 1, 0, 91.476868, H, 0, 17249838926822967392
d, 0, -216, -2744.393066, space, 4126483808, 0, 0, 1, 1, 1.000000, 1230, 0, -0.000061, ~, 0, 5950193
0, 10, 5125405, -511231.966797, clock, 3700012543, 1, 1, 0, 0, 0.000000, 4319, 0, 1.000000, ~, 1, 3320387
ab, 52, 0, 0.006836, island, 25303697, 0, 1, 1, 0, -0.062103, 611, 1, 0.000000, E, 1, 12543364744
fc, 65, 1540737392, -24.595703, pain, 121, 1, 0, 1, 0, 0.001007, 1, 0, 29298.361328, R, 1, 60639403108299887
ec, 75, -808, -112.469238, kettle, 30, 1, 0, 1, 0, -0.000183, 201, 0, 29877.140625, ?, 0, 105328445
