act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
1, 16, -7866, 11433.720703, frame, 10512916, 1, 0, 1, 0, -0.000122, 6071, 1, 25666.376953, [, 0, 1
ff, 1, 0, -3777.787598, need, 0, 1, 1, 0, 1, 3292.076172, 1, 1, 112.998810, <, 1, 1
1, 72, 1, 10.906250, hole, 133781231, 0, 1, 0, 0, 1.000000, 1131, 1, 1.000000, S, 0, 695526
1, 55, 1, 10.906250, floor, 133781231, 0, 0, 0, 0, -24022.929688, 1131, 1, 1.000000, ~, 0, 695526
1, 55, 1, -392989.966309, stem, 10776248, 1, 1, 0, 0, 0.000000, 0, 1, 1.000000, *, 1, 1132041
9, 0, -1821056276, 1.000000, street, 3115187400, 1, 0, 0, 0, 1.000000, 1, 0, 0.003296, y, 0, 9594652841856098975
64, 0, -5654, 1.000000, copy, 1, 1, 0, 0, 0, 0.000000, 12, 1, 0.001709, x, 1, 14
a4, 0, -1407253349, 0.000000, brake, 6308, 1, 1, 1, 1, 29204.925781, 11152, 1, 0.001709, 0, 1, 0
fc, 12, 0, -28.013672, tramp, 14, 0, 1, 1, 1, 1.000000, 1, 0, 0.000000, #, 0, 695526
ff, 223, -368, 333417.205566, island, 4, 1, 1, 0, 1, -21110.708984, 14, 1, 0.000000, Q, 1, 53
0, 11, 6262, 1.759277, , 0, 1, 1, 0, 1, 1.000000, 54294, 1, -0.000031, P, 0, 1
1e, 1, 1093035120, 1.000000, rake, 1, 1, 1, 1, 1, 26.484558, 0, 1, -254.432770, V, 0, 0
0, 1, -1, 0.000000, move, 26620430, 0, 1, 1, 1, 4056.698975, 14927, 0, -26507.208984, w, 1, 41
b1, 4, -667702, -440301.755859, crib, 1, 1, 0, 1, 0, -14.536285, 9, 0, -31669.878906, m, 0, 244010087281885778
