act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
fc, 2, -968041, -0.001465, slave, 3, 0, 1, 0, 0, -0.001465, 4064, 1, 22247.353516, :, 0, 88917811818
fc, 2, -6209, 15200.922852, floor, 3, 0, 1, 0, 0, -0.000977, 2, 1, 22247.353516, :, 0, 88917811818
e7, 0, -6899, -321606.668457, bikes, 145691545, 1, 1, 0, 1, -0.000275, 1, 0, 762.533813, 8, 0, 52917861017
fe, 1, 46, 0.092285, quiver, 145691545, 1, 1, 0, 1, -0.000275, 0, 1, 762.533813, M, 1, 448
1, 4, -2, 1.000000, drawer, 145691545, 1, 0, 1, 1, 0.000031, 1, 1, 762.533813, 8, 0, 52917861017
e7, 1, 46, 0.092285, coal, 145691545, 1, 0, 1, 1, -0.000275, 1, 1, 762.533813, M, 0, 348
fe, 21, 46, 0.092285, slave, 60, 1, 1, 1, 1, -0.000275, 7502, 1, 762.533813, R, 1, 448
b, 1, 1, -3777.031250, silver, 5110, 1, 0, 0, 1, 18.691620, 1, 0, 176.041718, l, 0, 2779
b, 1, 1, -9.991699, balls, 5110, 0, 0, 0, 1, 18.691620, 409, 0, 176.041718, l, 1, 2779
b, 1, 566370, 623.572266, stamp, 131700, 1, 1, 0, 1, -21029.503906, 409, 1, 176.041718, x, 1, 2779
b, 1, 566370, 623.572266, stamp, 131700, 1, 0, 0, 1, -0.000824, 409, 1, 176.041718, x, 1, 2779
e4, 1, 6484687, 19613.528320, feet, 338030184, 0, 1, 1, 1, -0.001648, 0, 0, 12.195160, P, 1, 1800624
1, 114, 6484687, 0.000488, paste, 370203, 0, 1, 1, 1, -0.001648, 1680, 0, 12.195160, k, 1, 1800624
c7, 9, -3, -0.012695, , 81242537, 0, 1, 0, 1, 0.007233, 3, 0, 1.000000, t, 1, 81649274462
f1, 1, 6484687, 0.086426, smoke, 467976, 0, 1, 1, 0, 439.269165, 0, 0, 0.554382, G, 0, 132264550028951130
f1, 104, 3983, 19613.528320, smoke, 467976, 0, 1, 1, 1, -0.088257, 2967, 0, 0.554382, G, 0, 7121910346911279174
