act, ear, blade, afternoon, zinc, degree, flag, quarter, tin, grade, angle, ship, hot, caption, prison, mitten, knife
89, 2, -3453199, -0.000488, smoke, 244, 1, 1, 0, 1, 0.284943, 10, 1, 0.000000, /, 0, 7
1, 7, 1871, -20328.226562, laugh, 0, 0, 0, 1, 0, 29693.736328, 1, 0, -6.093079, 9, 1, 1701797024
1, 3, -14, 109741.984375, straw, 14, 0, 0, 0, 0, -31302.298828, 3, 0, 0.000000, H, 0, 1209732430
ff, 47, 1, 109741.984375, market, 14, 0, 1, 0, 0, -2.526703, 1, 0, 0.000000, S, 0, 189
fe, 27, 1, 0.020996, vase, 0, 0, 0, 0, 1, -3.521942, 115, 0, 21440.705078, :, 1, 0
fc, 0, -12234, -90624.757812, slope, 3662, 0, 1, 1, 1, 0.000000, 8015, 0, 0.021393, f, 0, 3
eb, 1, 20, 0.000000, town, 1295, 1, 0, 0, 1, -20621.236328, 36081, 0, 20903.462891, ^, 1, 12083380
fc, 2, 0, -90624.757812, drop, 476, 1, 0, 0, 1, 6.494324, 6, 0, 0.014465, @, 0, 3
40, 0, -3284823, -86646.820312, canvas, 25608, 1, 0, 0, 1, 46.113251, 3317, 1, -31522.148438, *, 0, 1
0, 7, 0, -11282.105469, cattle, 23, 0, 0, 0, 1, -16477.349609, 0, 0, 28448.718750, %, 0, 1
fc, 2, -3453199, 110557.585938, smoke, 37, 1, 1, 1, 1, 22490.873047, 62, 0, 1.000000, /, 0, 29869
40, 27, -3, 0.000000, canvas, 531, 1, 0, 1, 1, 1256.895020, 0, 0, -31522.148438, *, 0, 8497
17, 249, -80911, -0.040039, tray, 1, 0, 0, 0, 1, 1.000000, 6, 0, 0.014465, @, 0, 525
fe, 1, -3, 109169.601562, vase, 1295, 0, 0, 0, 0, 1.000000, 52207, 1, 104.035736, ^, 0, 1585337638
eb, 24, 20, 0.000000, sun, 1295, 0, 0, 0, 1, 1.000000, 36081, 0, 20903.462891, ^, 0, 12083380
41, 24, 414568, 109169.601562, shelf, 1295, 0, 0, 0, 0, 29310.148438, 16042, 1, 104.035736, ^, 0, 12083380
0, 249, 1, 1.626465, drop, 65187, 0, 0, 1, 1, -7895.290527, 77, 1, 0.014465, W, 0, 525
bd, 1, 3800870, -75124.445312, unit, 5184, 0, 1, 1, 0, 0.000000, 15810, 0, 1.000000, G, 1, 2116513
7, 0, 2447095, -0.001953, prose, 1, 0, 1, 1, 1, -2.825562, 23, 0, 0.000092, F, 0, 137
ff, 2, 1896739, 1.000000, field, 23, 0, 1, 1, 1, 1382.664917, 1, 0, -18821.671875, R, 1, 625
1, 155, 0, -20328.226562, pickle, 0, 0, 1, 1, 0, 29693.736328, 1, 0, -6.093079, 9, 0, 1701797024
89, 3, -3453199, 1.000000, straw, 44593, 0, 1, 1, 1, 0.000000, 3, 1, 0.000000, H, 0, 7
17, 6, -205621, 1.000000, market, 44, 0, 1, 0, 0, 4.887146, 32773, 0, 0.000610, @, 0, 1
7, 4, -2344461, -0.001953, wave, 1, 1, 1, 1, 1, -2.825562, 23, 0, 0.000092, F, 0, 122203709
1, 0, 3402447, -20328.226562, pickle, 0, 0, 0, 1, 0, 0.001892, 0, 0, -6.093079, 9, 0, 0
0, 2, -212, 5.972168, scent, 42286, 0, 1, 1, 0, 0.000916, 15810, 1, 1.000000, G, 1, 0
